stationName,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,latitude,longitude
Ditmars Blvd,N,Q,,,,,,,,,,40.775149,-73.912074
Astoria Blvd-Hoyt Av,N,Q,,,,,,,,,,40.770313,-73.917978
30 Av-Grand Av,N,Q,,,,,,,,,,40.766787,-73.921629
Broadway,N,Q,,,,,,,,,,40.76188,-73.925638
36 Av-Washington Av,N,Q,,,,,,,,,,40.756478,-73.929993
39 Av-Beebe Av,N,Q,,,,,,,,,,40.752901,-73.932903
5th Av,N,Q,R,,,,,,,,,40.765156,-73.972501
57th St,N,Q,R,,,,,,,,,40.765365,-73.980341
49th St,N,Q,R,,,,,,,,,40.760486,-73.983974
28th St,N,R,,,,,,,,,,40.745089,-73.988472
23rd St,N,R,,,,,,,,,,40.74108,-73.989083
Union Square,L,N,Q,R,4,5,6,,,,,40.735278,-73.991058
8th St,N,R,,,,,,,,,,40.730477,-73.992286
Prince St,N,R,,,,,,,,,,40.724124,-73.997686
City Hall,R,,,,,,,,,,,40.71311,-74.007045
Cortlandt St,R,,,,,,,,,,,40.710871,-74.010767
Rector St,R,,,,,,,,,,,40.707647,-74.012924
Whitehall St,R,1,,,,,,,,,,40.701938,-74.012588
Lawrence St,A,C,F,R,,,,,,,,40.692114,-73.986107
DeKalb Av,B,Q,R,,,,,,,,,40.689804,-73.981164
Atlantic Av-Barclays Ctr,B,Q,D,N,R,2,3,4,5,,,40.683805,-73.978487
Pacific St,B,Q,D,N,R,2,3,4,5,,,40.683905,-73.978879
Union St,R,,,,,,,,,,,40.677001,-73.983133
9th St,F,G,R,,,,,,,,,40.670387,-73.98848
Prospect Av,R,,,,,,,,,,,40.665299,-73.992729
25th St,R,,,,,,,,,,,40.660323,-73.997952
36th St,N,R,,,,,,,,,,40.65449,-74.004499
45th St,R,,,,,,,,,,,40.649389,-74.009333
53rd St,R,,,,,,,,,,,40.644653,-74.01469
59th St,N,R,,,,,,,,,,40.641606,-74.017897
Bay Ridge Av,R,,,,,,,,,,,40.634827,-74.02358
77th St,R,,,,,,,,,,,40.62955,-74.025731
86th St,R,,,,,,,,,,,40.622656,-74.028547
95th St,R,,,,,,,,,,,40.616021,-74.031383
7th Av,B,Q,,,,,,,,,,40.677365,-73.972788
Prospect Park,B,Q,FS,,,,,,,,,40.660792,-73.962109
Parkside Av,B,Q,,,,,,,,,,40.655221,-73.961516
Church Av,B,Q,,,,,,,,,,40.649427,-73.963356
Beverly Rd,B,Q,,,,,,,,,,40.644272,-73.964528
Cortelyou Rd,B,Q,,,,,,,,,,40.641314,-73.963996
Newkirk Av,B,Q,,,,,,,,,,40.635034,-73.962736
Av H,B,Q,,,,,,,,,,40.62993,-73.961477
Av J,B,Q,,,,,,,,,,40.62513,-73.960792
Av M,B,Q,,,,,,,,,,40.617928,-73.959454
Kings Highway,B,Q,,,,,,,,,,40.608835,-73.957769
Av U,B,Q,,,,,,,,,,40.598991,-73.955828
Neck Rd,B,Q,,,,,,,,,,40.59502,-73.95512
Sheepshead Bay,B,Q,,,,,,,,,,40.587302,-73.954224
Brighton Beach,B,Q,,,,,,,,,,40.577986,-73.960258
Ocean Parkway,Q,,,,,,,,,,,40.576423,-73.967894
West 8th St,F,Q,,,,,,,,,,40.575499,-73.976873
Stillwell Av,D,F,N,Q,,,,,,,,40.5769,-73.980846
9th Av,D,,,,,,,,,,,40.646337,-73.994489
Fort Hamilton Parkway,D,,,,,,,,,,,40.640185,-73.994423
50th St,D,,,,,,,,,,,40.636133,-73.994915
55th St,D,,,,,,,,,,,40.631389,-73.995262
71st St,D,,,,,,,,,,,40.618834,-73.999195
79th St,D,,,,,,,,,,,40.612855,-74.000892
18th Av,D,,,,,,,,,,,40.607602,-74.001491
20th Av,D,,,,,,,,,,,40.604439,-73.998164
Bay Parkway,D,,,,,,,,,,,40.601726,-73.993696
25th Av,D,,,,,,,,,,,40.597889,-73.986958
Bay 50th St,D,,,,,,,,,,,40.588022,-73.983735
8th Av,N,,,,,,,,,,,40.634552,-74.010726
Fort Hamilton Parkway,N,,,,,,,,,,,40.632179,-74.006658
New Utrecht Av,D,N,,,,,,,,,,40.625606,-73.99683
18th Av,N,,,,,,,,,,,40.620062,-73.98941
20th Av,N,,,,,,,,,,,40.617341,-73.98484
Bay Parkway-22nd Av,N,,,,,,,,,,,40.612989,-73.982084
Kings Highway,N,,,,,,,,,,,40.605107,-73.980578
Av U,N,,,,,,,,,,,40.596459,-73.978943
86th St,N,,,,,,,,,,,40.592724,-73.978227
121st St,J,Z,,,,,,,,,,40.700254,-73.829332
111th St,J,,,,,,,,,,,40.696771,-73.837042
104th St-102nd St,J,Z,,,,,,,,,,40.695033,-73.843298
Woodhaven Blvd,J,Z,,,,,,,,,,40.693451,-73.852556
Forest Parkway-85th St,J,,,,,,,,,,,40.692381,-73.858975
Elderts Lane-75th St,J,Z,,,,,,,,,,40.691285,-73.866425
Cypress Hills,J,,,,,,,,,,,40.690142,-73.87163
Crescent St,J,Z,,,,,,,,,,40.683478,-73.872548
Norwood Av,J,Z,,,,,,,,,,40.681757,-73.879007
Cleveland St,J,,,,,,,,,,,40.679656,-73.885731
Van Siclen Av,J,Z,,,,,,,,,,40.677847,-73.891711
Alabama Av,J,,,,,,,,,,,40.676755,-73.899834
Chauncey St,J,Z,,,,,,,,,,40.683313,-73.911334
Halsey St,J,,,,,,,,,,,40.685847,-73.915807
Gates Av,J,Z,,,,,,,,,,40.69003,-73.923161
Kosciusko St,J,,,,,,,,,,,40.69293,-73.928257
Myrtle Av,J,M,Z,,,,,,,,,40.696893,-73.935461
Flushing Av,J,M,,,,,,,,,,40.700629,-73.941995
Lorimer St,J,M,,,,,,,,,,40.704279,-73.948324
Hewes St,J,M,,,,,,,,,,40.707117,-73.95437
Marcy Av,J,M,Z,,,,,,,,,40.708565,-73.957893
Essex St,F,J,M,Z,,,,,,,,40.71841,-73.987181
Bowery,J,Z,,,,,,,,,,40.719977,-73.993576
Metropolitan Av,M,,,,,,,,,,,40.712082,-73.88954
Fresh Pond Rd,M,,,,,,,,,,,40.705955,-73.896232
Forest Av,M,,,,,,,,,,,40.704729,-73.902243
Seneca Av,M,,,,,,,,,,,40.70278,-73.907515
Knickerbocker Av,M,,,,,,,,,,,40.698717,-73.918655
Central Av,M,,,,,,,,,,,40.698033,-73.926371
8th Av,A,C,E,L,,,,,,,,40.73955,-74.002389
3rd Av,L,,,,,,,,,,,40.732961,-73.986657
1st Av,L,,,,,,,,,,,40.731397,-73.982112
Bedford Av,L,,,,,,,,,,,40.717714,-73.957695
Graham Av,L,,,,,,,,,,,40.714661,-73.944287
Grand St,L,,,,,,,,,,,40.711912,-73.940433
Montrose Av,L,,,,,,,,,,,40.707723,-73.940044
Morgan Av,L,,,,,,,,,,,40.706317,-73.931696
Jefferson St,L,,,,,,,,,,,40.705943,-73.922036
DeKalb Av,L,,,,,,,,,,,40.704153,-73.919273
Halsey St,L,,,,,,,,,,,40.696094,-73.90443
Wilson Av,L,,,,,,,,,,,40.688805,-73.904741
Bushwick Av,L,,,,,,,,,,,40.6823,-73.905149
Atlantic Av,L,,,,,,,,,,,40.67538,-73.902612
Sutter Av,L,,,,,,,,,,,40.668527,-73.901765
Livonia Av,L,,,,,,,,,,,40.663742,-73.900522
New Lots Av,L,,,,,,,,,,,40.659041,-73.899409
East 105th St,L,,,,,,,,,,,40.651462,-73.899191
Canarsie - Rockaway Parkway,L,,,,,,,,,,,40.64556,-73.902524
Franklin Av,A,FS,,,,,,,,,,40.681051,-73.95584
Park Place,FS,,,,,,,,,,,40.674516,-73.957932
Botanic Gardens,FS,2,3,4,5,,,,,,,40.670588,-73.959093
Inwood - 207th St,A,,,,,,,,,,,40.867892,-73.921234
Dyckman St-200th St,A,,,,,,,,,,,40.865758,-73.927266
190th St,A,,,,,,,,,,,40.858899,-73.932702
181st St,A,,,,,,,,,,,40.852759,-73.936636
175th St,A,,,,,,,,,,,40.847946,-73.939375
168th St - Washington Heights,A,C,,,,,,,,,,40.840741,-73.939252
163rd St - Amsterdam Av,C,,,,,,,,,,,40.835192,-73.940146
155th St,C,,,,,,,,,,,40.830744,-73.941597
145th St,A,B,C,D,,,,,,,,40.823791,-73.944726
135th St,B,C,,,,,,,,,,40.817125,-73.948225
125th St,A,B,C,D,,,,,,,,40.810879,-73.952318
116th St,B,C,,,,,,,,,,40.804312,-73.955643
Cathedral Parkway-110th St,B,C,,,,,,,,,,40.800002,-73.958882
103rd St,B,C,,,,,,,,,,40.796263,-73.96161
96th St,B,C,,,,,,,,,,40.791642,-73.965009
86th St,B,C,,,,,,,,,,40.785195,-73.969596
81st St - Museum of Natural History,B,C,,,,,,,,,,40.781976,-73.972027
72nd St,B,C,,,,,,,,,,40.776217,-73.976247
59th St,A,B,C,D,1,,,,,,,40.766944,-73.982941
50th St,C,E,,,,,,,,,,40.761968,-73.986662
42nd St,A,C,E,N,Q,R,S,1,2,3,7,40.757286,-73.989582
34th St,A,C,E,,,,,,,,,40.751996,73.993327
23rd St,C,E,,,,,,,,,,40.745102,-73.998365
14th St,A,C,E,L,,,,,,,,40.740938,-74.001919
West 4th St,A,B,C,D,E,F,M,,,,,40.731086,-74.001209
